Country,2017,2018,2019,2020,2021,2022,2023,2024
India,708445.0,771215.0,1014961.21,1346496.31,1601155.36,1609117.21,1751096.48,1823690.51
China,1842120.0,1958000.0,2228421.0,2853610.0,3153228.0,3266180.0,4220480.0,5120804.0
Japan,1139000.0,1200000.0,1345218.0,1893041.0,2512743.0,2638000.0,2699043.0,2791867.0
Korea,1152807.0,1236793.0,1303679.0,1400340.0,1583409.0,1703400.0,1783423.0,1832307.0
Indonesia,305645.0,332465.0,496536.0,765487.0,869087.0,1920546.0,1962197.0,1987960.0
Switzerland,410000.0,430000.0,450000.0,418113.0,430000.0,439500.0,426700.0,449600.0
Sweden,138610.0,123220.0,211000.0,215000.0,228000.0,231000.0,239000.0,241200.0
Norway,143600.0,145000.0,146500.0,147800.0,148600.0,149000.0,150200.0,151700.0
Germany,863412.0,853124.0,810203.0,756321.0,682300.0,623010.0,593212.0,613280.0
Canada,625132.0,685810.0,740532.0,745732.0,810321.0,813276.0,835762.0,865673.0
