Year,India,China,Japan,South Korea,Indonesia,Switzerland,Sweden,Norway,Germany,Canada
2017,708445.0,1842120.0,1139000.0,1152807.0,305645.0,,,,,
2018,771215.0,1958000.0,1200000.0,1236793.0,332465.0,,,,,
2019,1014961.21,2228421.0,1345218.0,1303679.0,496536.0,,,,,
2020,1346496.31,2853610.0,1893041.0,1400340.0,765487.0,,,,,
2021,1601155.36,3153228.0,2512743.0,1583409.0,869087.0,,,,,
2022,1609117.21,3266180.0,2638000.0,1703400.0,1920546.0,,,,,
2023,1751096.48,4220480.0,2699043.0,1783423.0,1962197.0,,,,,
2024,1823690.51,5120804.0,2791867.0,1832307.0,1987960.0,,,,,
2017,,,,,,410000.0,138610.0,143600.0,863412.0,625132.0
2018,,,,,,430000.0,123220.0,145000.0,853124.0,685810.0
2019,,,,,,450000.0,211000.0,146500.0,810203.0,740532.0
2020,,,,,,418113.0,215000.0,147800.0,756321.0,745732.0
2021,,,,,,430000.0,228000.0,148600.0,682300.0,810321.0
2022,,,,,,439500.0,231000.0,149000.0,623010.0,813276.0
2023,,,,,,426700.0,239000.0,150200.0,593212.0,835762.0
2024,,,,,,449600.0,241200.0,151700.0,613280.0,865673.0
