ID,Item_Name,Brand,Model,Category,Year_of_Purchase,Condition,Quantity,Weight_kg,Recycle_Method,Location,Recycling_Facility,Collection_Date,End_Use,Recycled_Price_USD,Toxic_Components,E-Waste_Collector,Carbon_Footprint,Exported_To
8636,Washing Machine,Panasonic,Panasonic Model 472,TV,2018,Broken,2,9.84,Manual,London,Facility B,2024-07-24,E-Waste Disposal,163.41,Lead,Green Electronics,2.9,China
2686,Air Conditioner,Xiaomi,Xiaomi Model 921,Appliance,2013,Partially Working,1,10.08,Automated,London,Facility A,2024-05-28,Raw Materials,140.15,Mercury,EcoWaste Solutions,16.21,Germany
1491,Headphone,LG,LG Model 829,TV,2014,Partially Working,3,14.27,Both,Shanghai,Facility C,2024-04-20,Parts for Electronics,47.65,Cadmium,EcoWaste Solutions,1.05,China
2032,Headphone,Sony,Sony Model 723,Appliance,2013,Broken,5,5.42,Manual,Dhaka,Facility C,2024-01-27,Parts for Electronics,26.41,Lead,Green Electronics,18.62,Germany
5617,Refrigerator,Dell,Dell Model 751,Mobile,2015,Working,2,9.2,Manual,Shanghai,Facility D,2024-01-04,Parts for Electronics,114.5,Mercury,EcoWaste Solutions,9.36,USA
6766,Microwave,Dell,Dell Model 427,Appliance,2015,Broken,4,7.83,Manual,Dhaka,Facility B,2024-07-19,Parts for Electronics,104.23,Mercury,E-Waste Inc.,2.94,USA
5630,Washing Machine,Apple,Apple Model 661,TV,2014,Broken,1,9.08,Manual,Shanghai,Facility A,2024-06-13,E-Waste Disposal,64.18,Lead,Green Electronics,15.57,Brazil
2587,Smartphone,LG,LG Model 192,Mobile,2022,Partially Working,5,1.81,Both,London,Facility D,2024-02-17,Raw Materials,108.82,Mercury,E-Waste Inc.,11.2,USA
2968,Smartphone,Panasonic,Panasonic Model 813,Mobile,2019,Working,5,5.28,Manual,Dhaka,Facility C,2024-07-11,Parts for Electronics,114.13,Cadmium,Green Electronics,17.47,USA
8150,Headphone,Sony,Sony Model 950,Appliance,2015,Working,3,17.69,Both,New York,Facility A,2023-11-23,E-Waste Disposal,141.21,Cadmium,EcoWaste Solutions,9.43,Brazil
2601,Washing Machine,Dell,Dell Model 396,Appliance,2021,Working,2,5.59,Both,London,Facility A,2023-12-14,Parts for Electronics,85.86,Mercury,EcoWaste Solutions,4.0,India
9906,Microwave,Panasonic,Panasonic Model 455,Mobile,2010,Broken,4,10.74,Automated,Dhaka,Facility B,2023-12-19,Raw Materials,46.25,Lead,E-Waste Inc.,15.59,China
9376,Refrigerator,Samsung,Samsung Model 933,TV,2014,Partially Working,4,5.79,Manual,New York,Facility D,2024-04-16,Parts for Electronics,120.82,None,E-Waste Inc.,3.77,USA
4107,Smartphone,Samsung,Samsung Model 407,Laptop,2011,Broken,3,5.92,Manual,Shanghai,Facility D,2023-12-11,E-Waste Disposal,157.86,None,E-Waste Inc.,15.87,India
9348,Smartphone,Panasonic,Panasonic Model 501,TV,2023,Broken,4,2.82,Both,Mumbai,Facility A,2024-03-26,Raw Materials,125.46,Cadmium,E-Waste Inc.,2.91,China
8388,Air Conditioner,Apple,Apple Model 539,Laptop,2015,Working,4,11.44,Both,London,Facility D,2024-06-16,Raw Materials,142.22,Cadmium,Green Electronics,1.68,USA
9123,Refrigerator,Panasonic,Panasonic Model 516,TV,2016,Working,3,11.4,Both,New York,Facility B,2024-09-14,Parts for Electronics,163.76,Cadmium,EcoWaste Solutions,8.44,Brazil
8598,Smartphone,Xiaomi,Xiaomi Model 537,Laptop,2015,Working,1,8.09,Manual,Mumbai,Facility A,2024-01-31,E-Waste Disposal,134.49,None,EcoWaste Solutions,9.02,Brazil
9318,Microwave,Sony,Sony Model 128,Mobile,2017,Partially Working,1,14.49,Manual,Mumbai,Facility C,2024-06-06,Raw Materials,106.69,Mercury,EcoWaste Solutions,19.52,Brazil
4180,Laptop,Apple,Apple Model 309,Laptop,2012,Partially Working,4,18.38,Manual,Dhaka,Facility D,2024-10-29,Parts for Electronics,122.8,None,EcoWaste Solutions,18.21,Brazil
2441,Laptop,Samsung,Samsung Model 847,Mobile,2015,Partially Working,2,18.68,Automated,Mumbai,Facility D,2024-11-08,E-Waste Disposal,76.26,Mercury,Green Electronics,15.93,China
2626,Laptop,Xiaomi,Xiaomi Model 285,Mobile,2017,Working,3,5.54,Automated,Berlin,Facility C,2023-12-12,Parts for Electronics,27.27,Cadmium,Green Electronics,7.99,Brazil
4401,Smartphone,LG,LG Model 385,Laptop,2023,Working,2,13.01,Manual,Mumbai,Facility A,2024-04-24,Raw Materials,61.46,Mercury,E-Waste Inc.,15.11,USA
1033,Washing Machine,Dell,Dell Model 273,Laptop,2019,Broken,1,9.16,Automated,Berlin,Facility D,2024-06-23,Parts for Electronics,58.09,Cadmium,Green Electronics,9.14,Brazil
